dist,expr,repKO,rep,size,relcen,pos,cell,ori,genrep,type,Legend:,,
1.812,0,0,2,1450.11,0.209286209,15,11,0,2,1,,,
1.816,0,0,2,1004.036,0.214707969,15,12,0,2,1,,,
1.816,0,0,2,997.51,0.250517313,15,16,0,2,1,,,
1.844,0,0,2,1006.487,0.267673102,5,6,0,2,1,,,
1.927,0,0,2,631.475,0.452559887,12,7,0,2,1,,,
1.96,0,0,2,840.941,0.353280461,1,5,0,2,1,,,
1.973,0,0,2,1562.796,0.258991861,9,12,0,2,1,,,
1.975,0,0,2,1343.795,0.291383889,19,11,0,2,1,,,
1.982,0,0,2,1377.134,0.229398148,11,2,0,2,1,,,
1.99,0,0,2,1104.756,0.319884263,15,13,0,2,1,,,
1.998,0,0,2,1865.694,0.219175077,19,1,0,2,1,,,
2.001,0,0,2,1220.884,0.188276251,19,9,0,2,1,,,
2.054,0,0,2,1101.738,0.269659971,16,10,0,2,1,,,
2.16,0,0,2,1133.027,0.257972053,16,6,0,2,1,,,
2.168,0,0,2,1232.326,0.255841397,9,6,0,2,1,,,
2.174,0,0,2,596.87,0.496800731,1,3,0,2,1,,,
2.193,0,0,2,1137.144,0.266983199,15,15,0,2,1,,,
2.225,0,0,2,946.373,0.306769613,11,19,0,2,1,,,
2.287,0,0,2,893.211,0.362383141,9,3,0,2,1,,,
2.295,0,0,2,989.973,0.302132701,15,3,0,2,1,,,
2.406,0,0,2,622.864,0.583980583,1,1,0,2,1,,,
2.452,0,0,2,1040.122,0.32619396,15,14,0,2,1,,,
2.473,0,0,2,1317.878,0.331812693,11,5,0,2,1,,,
2.503,0,0,2,1416.257,0.284982352,19,3,0,2,1,,,
2.528,0,0,2,1280.867,0.435561682,5,10,0,2,1,,,
2.563,0,0,2,1155.973,0.313785504,15,1,0,2,1,,,
2.593,0,0,2,1089.43,0.464196205,20,2,0,2,1,,,
2.895,0,0,2,1374.634,0.501820073,5,11,0,2,1,,,
2.952,0,0,2,888.407,0.504960657,12,6,0,2,1,,,
2.986,0,0,2,1233.062,0.401830171,11,7,0,2,1,,,
2.997,0,0,2,1432.308,0.348853451,11,15,0,2,1,,,
3.078,0,0,2,1354.143,0.435915593,11,13,0,2,1,,,
3.129,0,0,2,1344.725,0.377989853,11,8,0,2,1,,,
3.173,0,0,2,1440.651,0.38027325,16,11,0,2,1,,,
3.256,0,0,2,948.61,0.492065891,11,1,0,2,1,,,
3.477,0,0,2,1355.299,0.43370338,11,9,0,2,1,,,
3.605,0,0,2,1492.17,0.371343222,11,3,0,2,1,,,
3.637,0,0,2,1776.83,0.472890391,11,6,0,2,1,,,
3.768,0,0,2,1205.641,0.688093499,19,8,0,2,1,,,
3.786,0,0,2,1199.007,0.522423072,20,1,0,2,1,,,
1.438,1,0,3,1496.319,0.153272223,2,10,0,3,4,,,
-0.379,0,0,3,690.221,-0.069173207,10,6,0,3,1,,,
-0.263,0,0,3,564.926,-0.051802245,1,8,0,3,1,,,
-0.225,0,0,3,966.574,-0.032601608,5,5,0,3,1,,,
0.069,0,0,3,804.748,0.010400965,10,7,0,3,1,,,
0.077,0,0,3,830.84,0.012208657,6,10,0,3,1,,,
0.079,0,0,3,555.161,0.016298741,9,5,0,3,1,,,
0.131,0,0,3,794.131,0.02271545,1,6,0,3,1,,,
0.159,0,0,3,1091.39,0.017731683,9,17,0,3,1,,,
0.255,0,0,3,888.3,0.064377682,6,8,0,3,1,,,
0.303,0,0,3,1475.57,0.066976127,10,24,0,3,1,,,
0.392,0,0,3,847.596,0.048920504,9,10,0,3,1,,,
0.399,0,0,3,701.707,0.071814255,2,2,0,3,1,,,
0.438,0,0,3,763.616,0.070508693,1,7,0,3,1,,,
